<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
83001.HK,D,20221123,000000,92.55,92.55,92.55,92.55,0,0
83001.HK,D,20221124,000000,97.95,97.95,97.95,97.95,0,0
83001.HK,D,20221125,000000,103.25,105.6,103.25,105.6,2640,0
83001.HK,D,20221128,000000,104.85,108.05,104.85,108.05,1845,0
83001.HK,D,20221129,000000,116.7,118.4,116.7,118.4,3500,0
83001.HK,D,20221130,000000,118.5,118.5,116.45,118.5,1145,0
83001.HK,D,20221201,000000,121.15,121.15,120.85,121.15,1730,0
83001.HK,D,20221202,000000,125.6,127.35,125.6,127.35,2560,0
83001.HK,D,20221205,000000,137.4,142.55,137.4,142.55,3360,0
83001.HK,D,20221206,000000,146.15,146.15,143.7,143.7,1840,0
83001.HK,D,20221207,000000,141.7,141.75,135.95,135.95,2115,0
83001.HK,D,20221208,000000,135.35,135.35,135.35,135.35,0,0
83001.HK,D,20221209,000000,135.55,137.7,135.55,137.7,225,0
83001.HK,D,20221212,000000,141.7,141.7,141.55,141.7,1470,0
83001.HK,D,20221213,000000,143.95,143.95,143.95,143.95,0,0
83001.HK,D,20221214,000000,147.55,148.35,147.55,148.35,6050,0
83001.HK,D,20221215,000000,147.7,147.9,147.7,147.7,690,0
83001.HK,D,20221216,000000,146.7,146.7,146.3,146.6,3500,0
83001.HK,D,20221219,000000,146.85,146.85,146.85,146.85,130,0
83001.HK,D,20221220,000000,145.55,146.1,145.55,146.1,165,0
83001.HK,D,20221221,000000,145.75,145.75,145.75,145.75,0,0
83001.HK,D,20221222,000000,145.75,145.75,145.75,145.75,0,0
83001.HK,D,20221223,000000,145.75,145.75,145.75,145.75,0,0
83001.HK,D,20221228,000000,143.35,143.35,143.35,143.35,0,0
83001.HK,D,20221229,000000,143.35,143.35,143.35,143.35,0,0
83001.HK,D,20221230,000000,143.85,143.85,143.85,143.85,685,0
83001.HK,D,20230103,000000,140.7,141.2,140.7,141.2,695,0
83001.HK,D,20230104,000000,144.4,146.3,144.4,146.3,2780,0
83001.HK,D,20230105,000000,151.55,152.45,150.4,150.4,2290,0
83001.HK,D,20230106,000000,155.75,159.75,155.75,159.75,3680,0
83001.HK,D,20230109,000000,161.9,163.05,161.7,163.05,3990,0
83001.HK,D,20230110,000000,162.55,162.55,159.3,159.3,1250,0
83001.HK,D,20230111,000000,156.25,157.25,156.25,156.75,1390,0
83001.HK,D,20230112,000000,156.75,158.3,156.75,158.3,1775,0
83001.HK,D,20230113,000000,157.95,157.95,157.95,157.95,0,0
83001.HK,D,20230116,000000,158.15,158.15,158.15,158.15,0,0
83001.HK,D,20230117,000000,160.6,160.6,160.6,160.6,0,0
83001.HK,D,20230118,000000,162.65,162.65,162.4,162.4,100,0
83001.HK,D,20230119,000000,162,162,162,162,0,0
83001.HK,D,20230120,000000,162,162,162,162,0,0
83001.HK,D,20230126,000000,162,162,162,162,0,0
83001.HK,D,20230127,000000,163.1,163.1,163.1,163.1,0,0
83001.HK,D,20230130,000000,164,164.4,164,164.4,650,0
83001.HK,D,20230131,000000,164.4,164.4,164.4,164.4,0,0
83001.HK,D,20230201,000000,164.4,164.4,164.4,164.4,0,0
83001.HK,D,20230202,000000,165.15,165.15,165.15,165.15,0,0
83001.HK,D,20230203,000000,165.75,165.75,165.75,165.75,0,0
83001.HK,D,20230206,000000,166.55,166.55,166.55,166.55,0,0
83001.HK,D,20230207,000000,166.15,166.15,165.95,165.95,960,0
83001.HK,D,20230208,000000,161.75,161.75,161.75,161.75,0,0
83001.HK,D,20230209,000000,161.1,161.1,161.1,161.1,0,0
83001.HK,D,20230210,000000,159.95,159.95,159.95,159.95,0,0
83001.HK,D,20230213,000000,159.65,159.65,159.65,159.65,0,0
83001.HK,D,20230214,000000,158,158,158,158,0,0
83001.HK,D,20230215,000000,158,158,158,158,0,0
83001.HK,D,20230216,000000,158,158,158,158,0,0
83001.HK,D,20230217,000000,158,158,158,158,0,0
83001.HK,D,20230220,000000,156.7,156.7,156.7,156.7,0,0
83001.HK,D,20230221,000000,155.65,155.65,155.65,155.65,0,0
83001.HK,D,20230222,000000,153.4,153.55,153.4,153.55,840,0
83001.HK,D,20230223,000000,154.05,154.6,154.05,154.6,500,0
83001.HK,D,20230224,000000,157.9,157.9,157.55,157.9,650,0
83001.HK,D,20230227,000000,159.95,159.95,159.95,159.95,0,0
83001.HK,D,20230228,000000,159.95,159.95,159.95,159.95,0,0
83001.HK,D,20230301,000000,159.7,159.7,159.7,159.7,0,0
83001.HK,D,20230302,000000,159.3,159.3,159.3,159.3,275,0
83001.HK,D,20230303,000000,159,159,159,159,0,0
83001.HK,D,20230306,000000,158.9,158.9,158.9,158.9,0,0
83001.HK,D,20230307,000000,158.9,158.9,158.9,158.9,0,0
83001.HK,D,20230308,000000,159.6,159.6,159,159,1015,0
83001.HK,D,20230309,000000,158.35,158.35,158.35,158.35,0,0
83001.HK,D,20230310,000000,157.15,157.15,157.15,157.15,0,0
83001.HK,D,20230313,000000,155.35,155.35,155.35,155.35,315,0
83001.HK,D,20230314,000000,155,155,155,155,0,0
83001.HK,D,20230315,000000,155,155,155,155,0,0
83001.HK,D,20230316,000000,154.95,154.95,154.7,154.7,655,0
83001.HK,D,20230317,000000,154.3,154.3,154.3,154.3,0,0
83001.HK,D,20230320,000000,150.8,150.8,150.8,150.8,0,0
83001.HK,D,20230321,000000,149.05,149.05,149.05,149.05,0,0
83001.HK,D,20230322,000000,149.05,149.05,149.05,149.05,0,0
83001.HK,D,20230323,000000,147.2,147.2,147.2,147.2,0,0
83001.HK,D,20230324,000000,146,146,146,146,0,0
83001.HK,D,20230327,000000,142.6,142.6,142.6,142.6,0,0
83001.HK,D,20230328,000000,141.55,141.55,141.45,141.55,100,0
83001.HK,D,20230329,000000,141.55,141.55,141.55,141.55,0,0
83001.HK,D,20230330,000000,142.4,142.4,142.4,142.4,0,0
83001.HK,D,20230331,000000,144.05,144.05,144.05,144.05,0,0
83001.HK,D,20230403,000000,144.05,144.05,144.05,144.05,0,0
83001.HK,D,20230404,000000,144.05,144.05,144.05,144.05,0,0
83001.HK,D,20230406,000000,143.85,143.85,143.85,143.85,500,0
83001.HK,D,20230411,000000,143.85,143.85,143.85,143.85,0,0
83001.HK,D,20230412,000000,143.85,143.85,143.85,143.85,0,0
83001.HK,D,20230413,000000,143.85,143.85,143.85,143.85,0,0
83001.HK,D,20230414,000000,143.25,143.25,143.25,143.25,0,0
83001.HK,D,20230417,000000,143.25,143.25,143.25,143.25,0,0
83001.HK,D,20230418,000000,141.85,141.85,141.85,141.85,0,0
83001.HK,D,20230419,000000,140.55,140.55,140.55,140.55,0,0
83001.HK,D,20230420,000000,138.25,138.25,138.25,138.25,0,0
83001.HK,D,20230421,000000,136.25,136.25,136.25,136.25,0,0
83001.HK,D,20230424,000000,134.75,134.75,134.75,134.75,0,0
83001.HK,D,20230425,000000,132.95,132.95,132.95,132.95,0,0
83001.HK,D,20230426,000000,132.95,132.95,132.95,132.95,0,0
83001.HK,D,20230427,000000,134,134,133.3,133.3,1000,0
83001.HK,D,20230428,000000,132.9,132.9,132.9,132.9,0,0
83001.HK,D,20230502,000000,131.25,131.25,131.25,131.25,0,0
83001.HK,D,20230503,000000,129.6,129.6,129.6,129.6,700,0
83001.HK,D,20230504,000000,129.15,129.15,129.15,129.15,0,0
83001.HK,D,20230505,000000,127.85,127.85,127.85,127.85,0,0
83001.HK,D,20230508,000000,126.4,126.4,126.4,126.4,0,0
83001.HK,D,20230509,000000,120,120,120,120,0,0
83001.HK,D,20230510,000000,118.75,118.75,118.75,118.75,0,0
83001.HK,D,20230511,000000,118.75,118.75,118.75,118.75,0,0
83001.HK,D,20230512,000000,117.1,117.1,117.1,117.1,500,0
83001.HK,D,20230515,000000,117.1,117.1,117.1,117.1,0,0
83001.HK,D,20230516,000000,116.85,116.85,116.25,116.25,375,0
83001.HK,D,20230517,000000,113.6,113.6,113.6,113.6,0,0
83001.HK,D,20230518,000000,112.5,112.5,112.5,112.5,0,0
83001.HK,D,20230519,000000,112.1,112.1,112.1,112.1,0,0
83001.HK,D,20230522,000000,109.25,109.25,109.25,109.25,0,0
83001.HK,D,20230523,000000,106.4,106.4,106.4,106.4,0,0
83001.HK,D,20230524,000000,103.75,103.75,103.75,103.75,0,0
83001.HK,D,20230525,000000,104.8,104.8,103.8,104.8,100,0
83001.HK,D,20230529,000000,104.4,105,104.4,105,100,0
83001.HK,D,20230530,000000,106.95,106.95,106.95,106.95,0,0
83001.HK,D,20230531,000000,108.8,108.8,108.8,108.8,0,0
83001.HK,D,20230601,000000,110.6,110.6,110.6,110.6,0,0
83001.HK,D,20230602,000000,113.5,113.5,113.5,113.5,25,0
83001.HK,D,20230605,000000,117.1,117.1,116.4,117.1,2800,0
83001.HK,D,20230606,000000,117.55,117.55,117.45,117.45,915,0
83001.HK,D,20230607,000000,116.95,117,116.95,116.95,90,0
83001.HK,D,20230608,000000,117.2,117.2,117.2,117.2,0,0
83001.HK,D,20230609,000000,120.35,120.35,120.35,120.35,0,0
83001.HK,D,20230612,000000,121.45,121.45,121.45,121.45,1855,0
83001.HK,D,20230613,000000,121.3,121.5,121.3,121.3,2595,0
83001.HK,D,20230614,000000,121.3,121.3,121.3,121.3,0,0
83001.HK,D,20230615,000000,122.25,122.25,122.25,122.25,0,0
83001.HK,D,20230616,000000,122.25,122.25,122.25,122.25,0,0
83001.HK,D,20230619,000000,122.25,122.25,122.25,122.25,0,0
83001.HK,D,20230620,000000,120.25,120.25,120.25,120.25,0,0
83001.HK,D,20230621,000000,119.45,119.45,119.45,119.45,0,0
83001.HK,D,20230623,000000,119.45,119.45,119.45,119.45,0,0
83001.HK,D,20230626,000000,118.8,118.8,118.8,118.8,0,0
83001.HK,D,20230627,000000,117.1,117.1,117.1,117.1,0,0
83001.HK,D,20230628,000000,117.1,117.1,117.1,117.1,0,0
83001.HK,D,20230629,000000,116.9,116.9,116.9,116.9,0,0
83001.HK,D,20230630,000000,116,116,116,116,0,0
83001.HK,D,20230703,000000,114.85,114.85,114.85,114.85,0,0
83001.HK,D,20230704,000000,111.05,111.05,111.05,111.05,0,0
